Timestamp (ns),Acc_x,Acc_y,Acc_z,Anglvel_x,Anglvel_y,Anglvel_z
1720546938277578563,-9.124995,0.722535,3.138960,-0.059624544,-0.075595404,0.012776688
1720546938287564783,-9.124995,0.689040,3.148530,-0.058559820,-0.076660128,0.013841412
1720546938297551103,-9.105855,0.717750,3.119820,-0.056430372,-0.076660128,0.013841412
1720546938307537933,-9.096285,0.717750,3.134175,-0.055365648,-0.076660128,0.013841412
1720546938317525433,-9.110640,0.751245,3.138960,-0.056430372,-0.075595404,0.013841412
1720546938327511853,-9.115425,0.756030,3.095895,-0.057495096,-0.076660128,0.012776688
1720546938337498253,-9.101070,0.712965,3.105465,-0.058559820,-0.077724852,0.012776688
1720546938347484503,-9.096285,0.727320,3.110250,-0.058559820,-0.076660128,0.013841412
1720546938357470853,-9.110640,0.712965,3.115035,-0.057495096,-0.076660128,0.012776688
1720546938367457263,-9.101070,0.708180,3.110250,-0.059624544,-0.078789576,0.012776688
1720546938377443773,-9.120210,0.736890,3.119820,-0.058559820,-0.078789576,0.013841412
1720546938387430073,-9.120210,0.703395,3.124605,-0.058559820,-0.076660128,0.012776688
1720546938397416243,-9.139350,0.717750,3.158100,-0.058559820,-0.077724852,0.011711964
1720546938407402543,-9.101070,0.722535,3.138960,-0.057495096,-0.076660128,0.012776688
1720546938417389173,-9.129780,0.727320,3.115035,-0.058559820,-0.076660128,0.012776688
1720546938427374813,-9.120210,0.732105,3.143745,-0.058559820,-0.076660128,0.012776688
1720546938437361223,-9.120210,0.703395,3.129390,-0.057495096,-0.077724852,0.012776688
1720546938447347223,-9.110640,0.736890,3.129390,-0.057495096,-0.077724852,0.012776688
1720546938457333073,-9.101070,0.736890,3.148530,-0.058559820,-0.077724852,0.013841412
1720546938467318733,-9.105855,0.679470,3.143745,-0.058559820,-0.078789576,0.012776688
1720546938477305203,-9.096285,0.703395,3.172455,-0.059624544,-0.077724852,0.012776688
1720546938487291623,-9.115425,0.751245,3.115035,-0.056430372,-0.077724852,0.013841412
