Timestamp (ns),Acc_x,Acc_y,Acc_z,Anglvel_x,Anglvel_y,Anglvel_z
1720548231627481101,9.689625,-1.540770,1.215390,-0.023423928,-0.021294480,0.015970860
1720548231637478951,9.670485,-1.526415,1.205820,-0.023423928,-0.020229756,0.015970860
1720548231647476711,9.684840,-1.531200,1.210605,-0.023423928,-0.021294480,0.015970860
1720548231657474311,9.675270,-1.559910,1.220175,-0.023423928,-0.022359204,0.014906136
1720548231667472041,9.689625,-1.540770,1.196250,-0.023423928,-0.021294480,0.015970860
1720548231677469801,9.670485,-1.540770,1.220175,-0.025553376,-0.022359204,0.015970860
1720548231687467511,9.675270,-1.531200,1.196250,-0.023423928,-0.020229756,0.015970860
1720548231697465201,9.699195,-1.531200,1.234530,-0.023423928,-0.021294480,0.015970860
1720548231707463491,9.660915,-1.540770,1.181895,-0.023423928,-0.021294480,0.015970860
1720548231717461271,9.703980,-1.526415,1.244100,-0.024488652,-0.021294480,0.014906136
1720548231727459071,9.675270,-1.564695,1.148400,-0.025553376,-0.021294480,0.014906136
1720548231737456871,9.703980,-1.545555,1.162755,-0.024488652,-0.021294480,0.014906136
1720548231747454801,9.680055,-1.550340,1.210605,-0.023423928,-0.020229756,0.014906136
1720548231757452611,9.703980,-1.521630,1.201035,-0.024488652,-0.021294480,0.014906136
1720548231767450571,9.670485,-1.545555,1.205820,-0.024488652,-0.021294480,0.015970860
1720548231777448391,9.708765,-1.497705,1.205820,-0.023423928,-0.021294480,0.014906136
1720548231787445691,9.727905,-1.521630,1.196250,-0.023423928,-0.023423928,0.015970860
1720548231797443431,9.660915,-1.516845,1.253670,-0.022359204,-0.021294480,0.015970860
1720548231807442011,9.723120,-1.545555,1.119690,-0.027682824,-0.023423928,0.014906136
1720548231817438941,9.689625,-1.555125,1.134045,-0.025553376,-0.020229756,0.014906136
1720548231827436361,9.660915,-1.550340,1.196250,-0.021294480,-0.021294480,0.015970860
1720548231837434001,9.646560,-1.550340,1.205820,-0.023423928,-0.021294480,0.015970860
1720548231847431451,9.718335,-1.516845,1.186680,-0.024488652,-0.020229756,0.014906136
1720548231857428911,9.651345,-1.535985,1.220175,-0.024488652,-0.021294480,0.015970860
1720548231867426981,9.723120,-1.555125,1.186680,-0.024488652,-0.022359204,0.014906136
1720548231877424881,9.680055,-1.550340,1.201035,-0.024488652,-0.021294480,0.014906136
1720548231887422401,9.675270,-1.526415,1.167540,-0.023423928,-0.020229756,0.014906136
1720548231897419781,9.656130,-1.545555,1.143615,-0.024488652,-0.022359204,0.014906136
1720548231907417441,9.694410,-1.526415,1.205820,-0.024488652,-0.021294480,0.015970860
1720548231917414861,9.684840,-1.526415,1.181895,-0.023423928,-0.022359204,0.015970860
1720548231927412521,9.680055,-1.531200,1.215390,-0.023423928,-0.020229756,0.015970860
1720548231937409781,9.680055,-1.526415,1.196250,-0.023423928,-0.021294480,0.015970860
1720548231947407211,9.675270,-1.535985,1.205820,-0.024488652,-0.021294480,0.015970860
1720548231957404961,9.694410,-1.512060,1.181895,-0.023423928,-0.021294480,0.015970860
1720548231967402901,9.684840,-1.535985,1.177110,-0.024488652,-0.021294480,0.014906136
1720548231977401451,9.689625,-1.516845,1.196250,-0.024488652,-0.022359204,0.017035584
1720548231987399411,9.694410,-1.540770,1.229745,-0.024488652,-0.021294480,0.015970860
1720548231997397231,9.732690,-1.550340,1.210605,-0.024488652,-0.021294480,0.017035584
1720548232007394771,9.680055,-1.564695,1.191465,-0.024488652,-0.020229756,0.015970860
1720548232017392251,9.694410,-1.540770,1.220175,-0.023423928,-0.020229756,0.015970860
1720548232027389531,9.670485,-1.521630,1.244100,-0.024488652,-0.021294480,0.015970860
1720548232037387341,9.708765,-1.526415,1.191465,-0.024488652,-0.020229756,0.017035584
1720548232047385331,9.694410,-1.516845,1.229745,-0.024488652,-0.019165032,0.015970860
1720548232057383291,9.670485,-1.550340,1.210605,-0.023423928,-0.020229756,0.015970860
1720548232067381191,9.680055,-1.569480,1.215390,-0.024488652,-0.021294480,0.014906136
1720548232077380011,9.680055,-1.550340,1.167540,-0.024488652,-0.020229756,0.015970860
1720548232087378921,9.699195,-1.550340,1.210605,-0.023423928,-0.021294480,0.014906136
1720548232097376711,9.665700,-1.535985,1.181895,-0.023423928,-0.021294480,0.014906136
1720548232107374381,9.699195,-1.555125,1.196250,-0.023423928,-0.020229756,0.015970860
1720548232117372191,9.675270,-1.545555,1.172325,-0.023423928,-0.021294480,0.014906136
1720548232127369141,9.689625,-1.540770,1.181895,-0.023423928,-0.021294480,0.015970860
1720548232137367171,9.680055,-1.526415,1.191465,-0.024488652,-0.021294480,0.014906136
1720548232147364711,9.689625,-1.540770,1.153185,-0.023423928,-0.021294480,0.014906136
1720548232157362271,9.660915,-1.535985,1.191465,-0.023423928,-0.021294480,0.014906136
1720548232167360061,9.708765,-1.555125,1.181895,-0.024488652,-0.021294480,0.014906136
1720548232177357901,9.660915,-1.535985,1.196250,-0.023423928,-0.020229756,0.014906136
1720548232187355341,9.699195,-1.540770,1.162755,-0.023423928,-0.020229756,0.014906136
1720548232197352981,9.703980,-1.512060,1.196250,-0.024488652,-0.022359204,0.015970860
1720548232207350901,9.713550,-1.535985,1.205820,-0.023423928,-0.023423928,0.015970860
1720548232217348611,9.684840,-1.535985,1.210605,-0.024488652,-0.022359204,0.014906136
1720548232227346861,9.703980,-1.526415,1.186680,-0.022359204,-0.020229756,0.015970860
1720548232237344601,9.646560,-1.550340,1.220175,-0.023423928,-0.021294480,0.014906136
1720548232247342401,9.718335,-1.526415,1.220175,-0.023423928,-0.021294480,0.015970860
