Timestamp (ns),Acc_x,Acc_y,Acc_z,Anglvel_x,Anglvel_y,Anglvel_z
1720547413478435660,-9.124995,0.933075,2.952345,-0.057495096,-0.076660128,0.011711964
1720547413488425610,-9.081930,0.952215,2.937990,-0.058559820,-0.075595404,0.012776688
1720547413498415910,-9.091500,0.961785,2.966700,-0.058559820,-0.075595404,0.012776688
1720547413508405730,-9.101070,0.923505,2.961915,-0.057495096,-0.076660128,0.011711964
1720547413518395670,-9.096285,0.913935,2.937990,-0.058559820,-0.077724852,0.012776688
1720547413528385480,-9.105855,0.913935,2.942775,-0.059624544,-0.075595404,0.011711964
1720547413538375320,-9.091500,0.942645,2.947560,-0.057495096,-0.077724852,0.012776688
1720547413548365430,-9.110640,0.957000,2.937990,-0.057495096,-0.076660128,0.012776688
1720547413558355380,-9.101070,0.966570,2.957130,-0.058559820,-0.077724852,0.011711964
1720547413568345250,-9.086715,0.918720,2.966700,-0.059624544,-0.077724852,0.012776688
1720547413578335180,-9.091500,0.923505,2.971485,-0.058559820,-0.078789576,0.012776688
1720547413588325090,-9.110640,0.933075,2.966700,-0.058559820,-0.078789576,0.012776688
1720547413598315020,-9.105855,0.918720,2.966700,-0.057495096,-0.077724852,0.011711964
1720547413608304990,-9.124995,0.923505,2.985840,-0.057495096,-0.077724852,0.012776688
1720547413618294850,-9.101070,0.909150,2.985840,-0.057495096,-0.078789576,0.011711964
1720547413628284610,-9.096285,0.961785,2.976270,-0.059624544,-0.078789576,0.012776688
1720547413638273900,-9.096285,0.937860,2.957130,-0.058559820,-0.077724852,0.012776688
1720547413648262730,-9.115425,0.928290,2.942775,-0.057495096,-0.077724852,0.011711964
1720547413658252160,-9.134565,0.937860,2.976270,-0.059624544,-0.077724852,0.012776688
1720547413668241290,-9.120210,0.923505,2.976270,-0.059624544,-0.076660128,0.011711964
1720547413678230100,-9.124995,0.923505,2.971485,-0.059624544,-0.076660128,0.011711964
1720547413688219590,-9.115425,0.933075,2.990625,-0.058559820,-0.076660128,0.012776688
1720547413698209060,-9.086715,0.923505,2.957130,-0.057495096,-0.076660128,0.011711964
1720547413708198300,-9.091500,0.937860,2.957130,-0.058559820,-0.076660128,0.011711964
1720547413718188020,-9.110640,0.937860,2.942775,-0.058559820,-0.075595404,0.011711964
1720547413728177450,-9.091500,0.913935,2.952345,-0.059624544,-0.074530680,0.011711964
1720547413738167050,-9.096285,0.933075,2.961915,-0.059624544,-0.073465956,0.011711964
1720547413748156540,-9.096285,0.928290,2.981055,-0.058559820,-0.075595404,0.011711964
1720547413758145810,-9.096285,0.933075,2.957130,-0.058559820,-0.075595404,0.011711964
1720547413768135300,-9.129780,0.923505,2.966700,-0.058559820,-0.075595404,0.011711964
1720547413778125510,-9.110640,0.923505,2.918850,-0.057495096,-0.076660128,0.012776688
1720547413788114910,-9.115425,0.923505,2.947560,-0.058559820,-0.076660128,0.011711964
1720547413798104460,-9.139350,0.937860,2.947560,-0.058559820,-0.077724852,0.011711964
