Timestamp (ns),Acc_x,Acc_y,Acc_z,Anglvel_x,Anglvel_y,Anglvel_z
1720725334009513798,10.129845,0.311025,1.464210,-0.040459512,-0.020229756,-0.041524236
1720725334019509428,10.105920,0.339735,1.430715,-0.040459512,-0.020229756,-0.042588960
1720725334029505068,10.129845,0.320595,1.406790,-0.039394788,-0.020229756,-0.041524236
1720725334039500858,10.096350,0.330165,1.416360,-0.038330064,-0.020229756,-0.041524236
1720725334049496498,10.105920,0.272745,1.468995,-0.039394788,-0.020229756,-0.042588960
1720725334059492318,10.125060,0.334950,1.411575,-0.039394788,-0.020229756,-0.040459512
1720725334069488718,10.125060,0.311025,1.416360,-0.040459512,-0.019165032,-0.042588960
1720725334079484338,10.129845,0.330165,1.406790,-0.039394788,-0.020229756,-0.041524236
1720725334089479948,10.144200,0.306240,1.449855,-0.040459512,-0.020229756,-0.041524236
1720725334099475808,10.134630,0.306240,1.449855,-0.039394788,-0.019165032,-0.041524236
1720725334109471398,10.115490,0.320595,1.421145,-0.039394788,-0.020229756,-0.041524236
1720725334119467038,10.139415,0.334950,1.440285,-0.039394788,-0.021294480,-0.041524236
1720725334129462888,10.105920,0.330165,1.464210,-0.039394788,-0.021294480,-0.041524236
1720725334139458608,10.105920,0.325380,1.464210,-0.040459512,-0.020229756,-0.041524236
1720725334149454088,10.101135,0.320595,1.435500,-0.040459512,-0.020229756,-0.041524236
1720725334159449388,10.139415,0.315810,1.445070,-0.040459512,-0.020229756,-0.042588960
1720725334169444848,10.125060,0.301455,1.406790,-0.039394788,-0.020229756,-0.041524236
1720725334179440088,10.120275,0.311025,1.459425,-0.040459512,-0.020229756,-0.042588960
1720725334189435218,10.139415,0.315810,1.430715,-0.039394788,-0.020229756,-0.041524236
1720725334199430248,10.134630,0.325380,1.435500,-0.039394788,-0.020229756,-0.041524236
1720725334209425348,10.110705,0.315810,1.440285,-0.039394788,-0.020229756,-0.041524236
1720725334219420308,10.105920,0.320595,1.473780,-0.039394788,-0.019165032,-0.041524236
1720725334229415268,10.091565,0.330165,1.454640,-0.039394788,-0.020229756,-0.041524236
1720725334239411558,10.125060,0.315810,1.440285,-0.040459512,-0.020229756,-0.042588960
1720725334249406688,10.101135,0.306240,1.406790,-0.039394788,-0.020229756,-0.042588960
1720725334259401928,10.110705,0.296670,1.397220,-0.040459512,-0.020229756,-0.041524236
