Timestamp (ns),Acc_x,Acc_y,Acc_z,Anglvel_x,Anglvel_y,Anglvel_z
1720714450989368081,9.852315,-0.421080,2.813580,-0.035135892,-0.017035584,-0.048977304
1720714450999360511,9.837960,-0.440220,2.799225,-0.035135892,-0.017035584,-0.048977304
1720714451009352861,9.842745,-0.430650,2.784870,-0.035135892,-0.017035584,-0.048977304
1720714451019346421,9.842745,-0.411510,2.794440,-0.035135892,-0.017035584,-0.048977304
1720714451029338801,9.852315,-0.430650,2.823150,-0.035135892,-0.015970860,-0.047912580
1720714451039331511,9.866670,-0.416295,2.789655,-0.035135892,-0.015970860,-0.047912580
1720714451049324391,9.866670,-0.416295,2.794440,-0.036200616,-0.017035584,-0.047912580
1720714451059316871,9.837960,-0.416295,2.813580,-0.036200616,-0.015970860,-0.048977304
1720714451069310271,9.842745,-0.416295,2.789655,-0.034071168,-0.017035584,-0.047912580
1720714451079302651,9.866670,-0.435435,2.770515,-0.036200616,-0.017035584,-0.048977304
1720714451089294801,9.837960,-0.411510,2.789655,-0.035135892,-0.017035584,-0.047912580
1720714451099287711,9.837960,-0.401940,2.799225,-0.034071168,-0.015970860,-0.048977304
1720714451109280311,9.847530,-0.430650,2.823150,-0.035135892,-0.015970860,-0.048977304
1720714451119272641,9.861885,-0.425865,2.813580,-0.035135892,-0.017035584,-0.047912580
1720714451129265161,9.842745,-0.430650,2.770515,-0.034071168,-0.015970860,-0.047912580
1720714451139257571,9.833175,-0.430650,2.799225,-0.035135892,-0.017035584,-0.047912580
1720714451149250271,9.852315,-0.435435,2.823150,-0.036200616,-0.015970860,-0.047912580
1720714451159241801,9.842745,-0.430650,2.813580,-0.035135892,-0.017035584,-0.048977304
1720714451169233631,9.842745,-0.445005,2.818365,-0.034071168,-0.017035584,-0.048977304
1720714451179226781,9.857100,-0.421080,2.813580,-0.035135892,-0.015970860,-0.048977304
1720714451189218161,9.847530,-0.435435,2.789655,-0.035135892,-0.017035584,-0.050042028
1720714451199209661,9.842745,-0.425865,2.794440,-0.036200616,-0.015970860,-0.048977304
1720714451209201261,9.828390,-0.430650,2.765730,-0.036200616,-0.015970860,-0.048977304
1720714451219193041,9.842745,-0.435435,2.780085,-0.036200616,-0.017035584,-0.048977304
1720714451229184941,9.842745,-0.445005,2.823150,-0.035135892,-0.018100308,-0.047912580
1720714451239177111,9.861885,-0.401940,2.808795,-0.034071168,-0.017035584,-0.047912580
1720714451249169381,9.833175,-0.421080,2.789655,-0.035135892,-0.017035584,-0.048977304
1720714451259161231,9.842745,-0.425865,2.808795,-0.035135892,-0.017035584,-0.047912580
1720714451269153691,9.861885,-0.406725,2.851860,-0.034071168,-0.017035584,-0.048977304
1720714451279145711,9.852315,-0.449790,2.799225,-0.034071168,-0.017035584,-0.047912580
1720714451289137291,9.847530,-0.435435,2.847075,-0.035135892,-0.017035584,-0.047912580
1720714451299129971,9.847530,-0.406725,2.808795,-0.036200616,-0.017035584,-0.046847856
1720714451309122071,9.852315,-0.411510,2.770515,-0.035135892,-0.015970860,-0.047912580
1720714451319113891,9.871455,-0.392370,2.794440,-0.034071168,-0.017035584,-0.047912580
1720714451329106191,9.857100,-0.411510,2.813580,-0.034071168,-0.017035584,-0.047912580
1720714451339096901,9.861885,-0.411510,2.799225,-0.035135892,-0.017035584,-0.048977304
1720714451349089071,9.852315,-0.421080,2.842290,-0.035135892,-0.015970860,-0.048977304
1720714451359081111,9.847530,-0.425865,2.808795,-0.035135892,-0.017035584,-0.048977304
1720714451369072531,9.828390,-0.459360,2.808795,-0.035135892,-0.015970860,-0.047912580
1720714451379064521,9.852315,-0.464145,2.804010,-0.035135892,-0.015970860,-0.048977304
1720714451389055641,9.866670,-0.425865,2.804010,-0.035135892,-0.015970860,-0.047912580
1720714451399047641,9.861885,-0.430650,2.808795,-0.035135892,-0.015970860,-0.048977304
1720714451409040041,9.861885,-0.440220,2.813580,-0.035135892,-0.015970860,-0.047912580
1720714451419031811,9.847530,-0.421080,2.775300,-0.035135892,-0.015970860,-0.046847856
1720714451429023621,9.842745,-0.430650,2.827935,-0.034071168,-0.015970860,-0.047912580
1720714451439016121,9.861885,-0.430650,2.770515,-0.035135892,-0.015970860,-0.048977304
1720714451449007991,9.857100,-0.440220,2.789655,-0.035135892,-0.015970860,-0.048977304
1720714451459000931,9.857100,-0.406725,2.827935,-0.034071168,-0.015970860,-0.047912580
1720714451468992681,9.847530,-0.416295,2.804010,-0.035135892,-0.015970860,-0.048977304
1720714451478984881,9.885810,-0.440220,2.780085,-0.035135892,-0.015970860,-0.048977304
1720714451488976751,9.828390,-0.421080,2.789655,-0.034071168,-0.017035584,-0.047912580
1720714451498967591,9.842745,-0.425865,2.818365,-0.035135892,-0.017035584,-0.048977304
1720714451508960621,9.852315,-0.421080,2.784870,-0.035135892,-0.017035584,-0.048977304
1720714451518952471,9.837960,-0.430650,2.780085,-0.035135892,-0.015970860,-0.046847856
1720714451528944491,9.861885,-0.440220,2.799225,-0.035135892,-0.017035584,-0.047912580
1720714451538936581,9.814035,-0.459360,2.789655,-0.036200616,-0.017035584,-0.048977304
1720714451548928541,9.857100,-0.406725,2.789655,-0.035135892,-0.015970860,-0.047912580
1720714451558920391,9.847530,-0.445005,2.799225,-0.034071168,-0.017035584,-0.048977304
1720714451568912721,9.866670,-0.406725,2.818365,-0.035135892,-0.017035584,-0.048977304
1720714451578904671,9.842745,-0.435435,2.799225,-0.035135892,-0.015970860,-0.048977304
1720714451588897021,9.842745,-0.449790,2.808795,-0.035135892,-0.017035584,-0.047912580
1720714451598889241,9.881025,-0.421080,2.823150,-0.035135892,-0.015970860,-0.047912580
1720714451608881571,9.837960,-0.421080,2.813580,-0.036200616,-0.014906136,-0.047912580
1720714451618873951,9.842745,-0.397155,2.780085,-0.035135892,-0.015970860,-0.048977304
1720714451628865911,9.847530,-0.416295,2.823150,-0.035135892,-0.015970860,-0.048977304
1720714451638857971,9.833175,-0.425865,2.804010,-0.034071168,-0.015970860,-0.048977304
1720714451648849531,9.837960,-0.440220,2.808795,-0.035135892,-0.017035584,-0.048977304
1720714451658841041,9.833175,-0.425865,2.823150,-0.035135892,-0.015970860,-0.048977304
1720714451668832901,9.847530,-0.440220,2.784870,-0.035135892,-0.015970860,-0.047912580
1720714451678824661,9.866670,-0.411510,2.794440,-0.035135892,-0.015970860,-0.047912580
1720714451688816581,9.837960,-0.416295,2.799225,-0.035135892,-0.017035584,-0.047912580
1720714451698808471,9.876240,-0.445005,2.784870,-0.034071168,-0.015970860,-0.047912580
1720714451708800171,9.842745,-0.416295,2.765730,-0.036200616,-0.015970860,-0.047912580
1720714451718792231,9.842745,-0.406725,2.775300,-0.035135892,-0.015970860,-0.048977304
1720714451728783951,9.823605,-0.425865,2.799225,-0.035135892,-0.015970860,-0.048977304
1720714451738775881,9.861885,-0.454575,2.799225,-0.035135892,-0.017035584,-0.048977304
1720714451748767921,9.861885,-0.425865,2.799225,-0.035135892,-0.015970860,-0.046847856
1720714451758759781,9.842745,-0.435435,2.818365,-0.035135892,-0.017035584,-0.047912580
1720714451768752381,9.837960,-0.440220,2.808795,-0.036200616,-0.017035584,-0.047912580
1720714451778743361,9.837960,-0.435435,2.799225,-0.036200616,-0.017035584,-0.048977304
1720714451788735141,9.823605,-0.430650,2.794440,-0.035135892,-0.015970860,-0.048977304
1720714451798726921,9.833175,-0.430650,2.784870,-0.035135892,-0.015970860,-0.048977304
1720714451808719501,9.852315,-0.401940,2.794440,-0.034071168,-0.015970860,-0.047912580
1720714451818711231,9.833175,-0.397155,2.813580,-0.035135892,-0.015970860,-0.047912580
1720714451828702101,9.857100,-0.425865,2.799225,-0.035135892,-0.017035584,-0.047912580
1720714451838694341,9.823605,-0.411510,2.794440,-0.034071168,-0.017035584,-0.047912580
1720714451848686311,9.837960,-0.430650,2.842290,-0.035135892,-0.015970860,-0.048977304
1720714451858678601,9.857100,-0.435435,2.823150,-0.035135892,-0.017035584,-0.047912580
1720714451868670851,9.857100,-0.421080,2.813580,-0.035135892,-0.017035584,-0.047912580
1720714451878662731,9.852315,-0.421080,2.808795,-0.035135892,-0.017035584,-0.048977304
1720714451888654371,9.833175,-0.397155,2.794440,-0.036200616,-0.017035584,-0.048977304
1720714451898646381,9.852315,-0.425865,2.842290,-0.035135892,-0.017035584,-0.047912580
1720714451908637511,9.852315,-0.425865,2.837505,-0.035135892,-0.015970860,-0.047912580
1720714451918629381,9.852315,-0.425865,2.871000,-0.035135892,-0.015970860,-0.047912580
1720714451928621351,9.861885,-0.430650,2.813580,-0.035135892,-0.017035584,-0.047912580
1720714451938612841,9.857100,-0.401940,2.794440,-0.035135892,-0.015970860,-0.047912580
1720714451948604771,9.866670,-0.430650,2.823150,-0.035135892,-0.017035584,-0.047912580
1720714451958596711,9.837960,-0.445005,2.780085,-0.035135892,-0.015970860,-0.047912580
1720714451968588841,9.866670,-0.430650,2.813580,-0.034071168,-0.015970860,-0.047912580
1720714451978580941,9.833175,-0.435435,2.804010,-0.036200616,-0.015970860,-0.046847856
1720714451988573191,9.828390,-0.440220,2.823150,-0.035135892,-0.015970860,-0.048977304
1720714451998565021,9.842745,-0.430650,2.789655,-0.035135892,-0.017035584,-0.048977304
1720714452008557051,9.823605,-0.440220,2.823150,-0.035135892,-0.015970860,-0.048977304
1720714452018549171,9.857100,-0.430650,2.808795,-0.036200616,-0.018100308,-0.048977304
1720714452028541251,9.857100,-0.430650,2.780085,-0.035135892,-0.017035584,-0.047912580
1720714452038533181,9.833175,-0.425865,2.818365,-0.035135892,-0.017035584,-0.047912580
1720714452048525161,9.857100,-0.435435,2.789655,-0.035135892,-0.015970860,-0.048977304
1720714452058516981,9.852315,-0.421080,2.813580,-0.035135892,-0.015970860,-0.048977304
1720714452068508821,9.847530,-0.435435,2.842290,-0.035135892,-0.015970860,-0.048977304
1720714452078500961,9.833175,-0.435435,2.832720,-0.035135892,-0.017035584,-0.048977304
1720714452088492291,9.861885,-0.425865,2.808795,-0.035135892,-0.015970860,-0.047912580
1720714452098484411,9.871455,-0.454575,2.832720,-0.035135892,-0.015970860,-0.048977304
1720714452108476531,9.828390,-0.421080,2.765730,-0.034071168,-0.017035584,-0.048977304
1720714452118468781,9.837960,-0.421080,2.794440,-0.034071168,-0.017035584,-0.048977304
1720714452128460221,9.847530,-0.425865,2.818365,-0.035135892,-0.015970860,-0.047912580
1720714452138452191,9.852315,-0.435435,2.842290,-0.035135892,-0.015970860,-0.047912580
1720714452148444481,9.866670,-0.430650,2.780085,-0.035135892,-0.015970860,-0.047912580
1720714452158436251,9.857100,-0.425865,2.794440,-0.035135892,-0.017035584,-0.047912580
1720714452168428181,9.876240,-0.430650,2.789655,-0.035135892,-0.015970860,-0.047912580
1720714452178419701,9.852315,-0.449790,2.823150,-0.035135892,-0.015970860,-0.047912580
1720714452188411571,9.837960,-0.411510,2.775300,-0.035135892,-0.017035584,-0.047912580
1720714452198404541,9.837960,-0.445005,2.746590,-0.035135892,-0.017035584,-0.048977304
1720714452208397031,9.876240,-0.425865,2.789655,-0.035135892,-0.018100308,-0.047912580
1720714452218389721,9.833175,-0.430650,2.804010,-0.035135892,-0.018100308,-0.048977304
1720714452228381781,9.837960,-0.459360,2.784870,-0.035135892,-0.018100308,-0.047912580
1720714452238373621,9.842745,-0.430650,2.780085,-0.035135892,-0.017035584,-0.047912580
1720714452248365591,9.866670,-0.421080,2.780085,-0.035135892,-0.017035584,-0.047912580
1720714452258357311,9.823605,-0.445005,2.789655,-0.035135892,-0.017035584,-0.047912580
1720714452268349481,9.828390,-0.425865,2.823150,-0.035135892,-0.015970860,-0.048977304
1720714452278341571,9.828390,-0.430650,2.789655,-0.034071168,-0.017035584,-0.048977304
1720714452288333471,9.842745,-0.411510,2.799225,-0.034071168,-0.015970860,-0.047912580
1720714452298325111,9.842745,-0.440220,2.804010,-0.035135892,-0.017035584,-0.047912580
1720714452308316881,9.847530,-0.440220,2.784870,-0.034071168,-0.017035584,-0.047912580
1720714452318309171,9.833175,-0.430650,2.813580,-0.035135892,-0.017035584,-0.047912580
1720714452328301311,9.852315,-0.445005,2.837505,-0.035135892,-0.015970860,-0.048977304
1720714452338293221,9.852315,-0.411510,2.789655,-0.035135892,-0.015970860,-0.047912580
1720714452348285761,9.852315,-0.425865,2.823150,-0.036200616,-0.015970860,-0.048977304
1720714452358278011,9.847530,-0.445005,2.813580,-0.035135892,-0.015970860,-0.047912580
1720714452368269981,9.871455,-0.435435,2.851860,-0.036200616,-0.017035584,-0.048977304
1720714452378261991,9.861885,-0.421080,2.780085,-0.035135892,-0.017035584,-0.048977304
1720714452388254511,9.837960,-0.425865,2.780085,-0.035135892,-0.017035584,-0.048977304
1720714452398246051,9.842745,-0.454575,2.784870,-0.035135892,-0.015970860,-0.048977304
1720714452408237941,9.842745,-0.430650,2.808795,-0.035135892,-0.017035584,-0.048977304
1720714452418230381,9.852315,-0.449790,2.794440,-0.035135892,-0.017035584,-0.047912580
1720714452428222251,9.857100,-0.425865,2.804010,-0.035135892,-0.017035584,-0.047912580
1720714452438214151,9.837960,-0.454575,2.804010,-0.035135892,-0.017035584,-0.047912580
1720714452448206261,9.837960,-0.425865,2.813580,-0.035135892,-0.015970860,-0.047912580
1720714452458198331,9.866670,-0.421080,2.775300,-0.035135892,-0.017035584,-0.048977304
1720714452468190131,9.852315,-0.416295,2.808795,-0.035135892,-0.017035584,-0.048977304
1720714452478182171,9.847530,-0.425865,2.813580,-0.035135892,-0.017035584,-0.048977304
1720714452488174301,9.881025,-0.454575,2.813580,-0.035135892,-0.017035584,-0.047912580
1720714452498166351,9.871455,-0.421080,2.799225,-0.034071168,-0.017035584,-0.048977304
1720714452508158311,9.852315,-0.435435,2.827935,-0.035135892,-0.017035584,-0.047912580
1720714452518149881,9.818820,-0.425865,2.808795,-0.034071168,-0.017035584,-0.048977304
1720714452528141661,9.847530,-0.435435,2.804010,-0.034071168,-0.015970860,-0.047912580
1720714452538132961,9.828390,-0.440220,2.770515,-0.035135892,-0.017035584,-0.048977304
1720714452548125131,9.837960,-0.445005,2.823150,-0.035135892,-0.017035584,-0.047912580
1720714452558117431,9.847530,-0.435435,2.775300,-0.035135892,-0.015970860,-0.048977304
1720714452568109421,9.837960,-0.421080,2.827935,-0.034071168,-0.017035584,-0.048977304
1720714452578101571,9.842745,-0.440220,2.794440,-0.035135892,-0.017035584,-0.047912580
1720714452588093321,9.837960,-0.416295,2.804010,-0.035135892,-0.015970860,-0.048977304
1720714452598085241,9.847530,-0.435435,2.799225,-0.035135892,-0.017035584,-0.047912580
1720714452608077671,9.857100,-0.425865,2.765730,-0.034071168,-0.017035584,-0.047912580
1720714452618070181,9.842745,-0.401940,2.818365,-0.034071168,-0.017035584,-0.047912580
1720714452628062001,9.833175,-0.440220,2.832720,-0.034071168,-0.015970860,-0.047912580
1720714452638053711,9.852315,-0.430650,2.799225,-0.035135892,-0.017035584,-0.047912580
1720714452648045701,9.847530,-0.416295,2.818365,-0.034071168,-0.017035584,-0.047912580
1720714452658037611,9.833175,-0.430650,2.818365,-0.035135892,-0.017035584,-0.047912580
1720714452668029191,9.828390,-0.435435,2.804010,-0.036200616,-0.015970860,-0.047912580
1720714452678021121,9.828390,-0.401940,2.813580,-0.036200616,-0.018100308,-0.047912580
1720714452688013281,9.861885,-0.421080,2.794440,-0.035135892,-0.017035584,-0.047912580
1720714452698005231,9.837960,-0.406725,2.784870,-0.034071168,-0.017035584,-0.050042028
