Timestamp (ns),Acc_x,Acc_y,Acc_z,Anglvel_x,Anglvel_y,Anglvel_z
1720720289763269863,-9.546075,-0.507210,0.693825,-0.036200616,-0.026618100,-0.040459512
1720720289773267783,-9.560430,-0.497640,0.689040,-0.037265340,-0.026618100,-0.040459512
1720720289783265383,-9.565215,-0.497640,0.684255,-0.037265340,-0.027682824,-0.040459512
1720720289793263373,-9.570000,-0.511995,0.655545,-0.037265340,-0.027682824,-0.040459512
1720720289803261263,-9.579570,-0.516780,0.689040,-0.037265340,-0.025553376,-0.040459512
1720720289813259333,-9.541290,-0.502425,0.689040,-0.037265340,-0.026618100,-0.040459512
1720720289823257353,-9.560430,-0.488070,0.665115,-0.038330064,-0.026618100,-0.041524236
1720720289833255383,-9.546075,-0.511995,0.669900,-0.037265340,-0.026618100,-0.039394788
1720720289843253323,-9.536505,-0.497640,0.622050,-0.037265340,-0.026618100,-0.040459512
1720720289853251283,-9.570000,-0.483285,0.636405,-0.037265340,-0.026618100,-0.040459512
1720720289863249333,-9.550860,-0.516780,0.679470,-0.038330064,-0.027682824,-0.039394788
1720720289873247313,-9.555645,-0.492855,0.650760,-0.037265340,-0.026618100,-0.040459512
1720720289883245303,-9.574785,-0.488070,0.679470,-0.037265340,-0.026618100,-0.040459512
1720720289893243193,-9.550860,-0.507210,0.650760,-0.037265340,-0.026618100,-0.039394788
1720720289903241293,-9.550860,-0.473715,0.665115,-0.037265340,-0.026618100,-0.041524236
1720720289913239493,-9.589140,-0.507210,0.650760,-0.036200616,-0.026618100,-0.040459512
1720720289923237023,-9.560430,-0.492855,0.669900,-0.036200616,-0.026618100,-0.040459512
1720720289933234273,-9.570000,-0.488070,0.622050,-0.036200616,-0.027682824,-0.039394788
1720720289943231773,-9.546075,-0.492855,0.674685,-0.037265340,-0.026618100,-0.040459512
1720720289953228983,-9.541290,-0.502425,0.679470,-0.037265340,-0.026618100,-0.040459512
1720720289963226743,-9.560430,-0.502425,0.655545,-0.037265340,-0.025553376,-0.039394788
1720720289973224033,-9.546075,-0.497640,0.665115,-0.037265340,-0.026618100,-0.040459512
1720720289983221353,-9.570000,-0.511995,0.679470,-0.037265340,-0.025553376,-0.040459512
1720720289993218623,-9.531720,-0.492855,0.717750,-0.037265340,-0.026618100,-0.039394788
1720720290003215863,-9.550860,-0.502425,0.689040,-0.038330064,-0.027682824,-0.040459512
1720720290013213393,-9.560430,-0.473715,0.645975,-0.037265340,-0.027682824,-0.040459512
1720720290023211313,-9.526935,-0.488070,0.665115,-0.038330064,-0.027682824,-0.040459512
1720720290033209073,-9.536505,-0.497640,0.684255,-0.037265340,-0.027682824,-0.040459512
1720720290043206603,-9.570000,-0.531135,0.660330,-0.036200616,-0.025553376,-0.040459512
1720720290053204073,-9.565215,-0.497640,0.660330,-0.036200616,-0.026618100,-0.040459512
1720720290063201673,-9.570000,-0.516780,0.660330,-0.038330064,-0.026618100,-0.040459512
1720720290073199283,-9.550860,-0.507210,0.679470,-0.037265340,-0.026618100,-0.040459512
1720720290083196983,-9.560430,-0.488070,0.674685,-0.037265340,-0.026618100,-0.040459512
1720720290093195493,-9.570000,-0.488070,0.655545,-0.037265340,-0.026618100,-0.040459512
1720720290103193193,-9.565215,-0.483285,0.655545,-0.037265340,-0.027682824,-0.040459512
1720720290113190493,-9.560430,-0.478500,0.607695,-0.037265340,-0.025553376,-0.039394788
1720720290123188103,-9.570000,-0.521565,0.665115,-0.037265340,-0.026618100,-0.039394788
1720720290133185523,-9.565215,-0.478500,0.636405,-0.037265340,-0.026618100,-0.040459512
1720720290143182843,-9.589140,-0.483285,0.645975,-0.038330064,-0.026618100,-0.040459512
1720720290153180433,-9.560430,-0.473715,0.708180,-0.037265340,-0.026618100,-0.040459512
1720720290163177953,-9.579570,-0.497640,0.708180,-0.036200616,-0.027682824,-0.040459512
1720720290173175383,-9.536505,-0.497640,0.631620,-0.037265340,-0.026618100,-0.040459512
1720720290183172623,-9.546075,-0.497640,0.698610,-0.037265340,-0.026618100,-0.040459512
1720720290193169823,-9.536505,-0.478500,0.650760,-0.037265340,-0.025553376,-0.040459512
1720720290203166953,-9.584355,-0.478500,0.645975,-0.037265340,-0.027682824,-0.039394788
1720720290213164573,-9.579570,-0.483285,0.655545,-0.038330064,-0.026618100,-0.040459512
1720720290223162163,-9.531720,-0.492855,0.665115,-0.037265340,-0.026618100,-0.039394788
1720720290233159333,-9.546075,-0.516780,0.617265,-0.038330064,-0.027682824,-0.040459512
1720720290243156823,-9.570000,-0.492855,0.645975,-0.037265340,-0.026618100,-0.039394788
1720720290253154353,-9.589140,-0.511995,0.660330,-0.037265340,-0.025553376,-0.041524236
1720720290263151913,-9.550860,-0.488070,0.679470,-0.037265340,-0.026618100,-0.041524236
1720720290273149383,-9.565215,-0.516780,0.717750,-0.037265340,-0.026618100,-0.040459512
1720720290283147073,-9.541290,-0.502425,0.645975,-0.037265340,-0.027682824,-0.040459512
1720720290293144383,-9.560430,-0.492855,0.655545,-0.037265340,-0.026618100,-0.040459512
1720720290303141653,-9.560430,-0.488070,0.645975,-0.037265340,-0.025553376,-0.040459512
1720720290313139233,-9.498225,-0.516780,0.669900,-0.037265340,-0.026618100,-0.040459512
1720720290323136963,-9.536505,-0.492855,0.679470,-0.037265340,-0.026618100,-0.040459512
1720720290333134573,-9.546075,-0.492855,0.641190,-0.037265340,-0.026618100,-0.041524236
1720720290343132153,-9.565215,-0.497640,0.655545,-0.038330064,-0.026618100,-0.041524236
1720720290353129863,-9.560430,-0.478500,0.645975,-0.037265340,-0.026618100,-0.040459512
1720720290363127693,-9.531720,-0.483285,0.655545,-0.037265340,-0.025553376,-0.039394788
1720720290373125283,-9.565215,-0.507210,0.655545,-0.037265340,-0.026618100,-0.039394788
1720720290383122903,-9.560430,-0.488070,0.669900,-0.037265340,-0.025553376,-0.041524236
1720720290393120393,-9.541290,-0.488070,0.645975,-0.037265340,-0.027682824,-0.040459512
1720720290403117793,-9.555645,-0.497640,0.669900,-0.037265340,-0.026618100,-0.039394788
1720720290413114203,-9.570000,-0.535920,0.684255,-0.037265340,-0.026618100,-0.040459512
1720720290423111553,-9.531720,-0.478500,0.708180,-0.037265340,-0.027682824,-0.040459512
1720720290433108943,-9.550860,-0.497640,0.665115,-0.036200616,-0.026618100,-0.040459512
1720720290443106553,-9.536505,-0.492855,0.660330,-0.036200616,-0.027682824,-0.040459512
1720720290453104983,-9.555645,-0.473715,0.655545,-0.036200616,-0.026618100,-0.039394788
1720720290463102703,-9.555645,-0.488070,0.693825,-0.037265340,-0.027682824,-0.040459512
1720720290473100073,-9.536505,-0.492855,0.636405,-0.037265340,-0.026618100,-0.039394788
1720720290483098623,-9.555645,-0.511995,0.665115,-0.037265340,-0.026618100,-0.040459512
1720720290493096173,-9.536505,-0.492855,0.689040,-0.037265340,-0.026618100,-0.041524236
1720720290503093923,-9.555645,-0.511995,0.650760,-0.037265340,-0.027682824,-0.040459512
1720720290513091713,-9.555645,-0.497640,0.674685,-0.037265340,-0.026618100,-0.040459512
1720720290523089593,-9.546075,-0.488070,0.684255,-0.038330064,-0.026618100,-0.040459512
1720720290533087053,-9.550860,-0.531135,0.674685,-0.038330064,-0.026618100,-0.040459512
1720720290543084583,-9.584355,-0.516780,0.660330,-0.037265340,-0.027682824,-0.041524236
1720720290553082183,-9.541290,-0.507210,0.645975,-0.037265340,-0.027682824,-0.041524236
1720720290563079573,-9.555645,-0.492855,0.669900,-0.037265340,-0.027682824,-0.040459512
1720720290573077123,-9.546075,-0.497640,0.669900,-0.037265340,-0.026618100,-0.040459512
1720720290583074703,-9.565215,-0.468930,0.660330,-0.037265340,-0.026618100,-0.040459512
1720720290593072083,-9.565215,-0.492855,0.679470,-0.037265340,-0.026618100,-0.040459512
1720720290603069253,-9.550860,-0.507210,0.669900,-0.037265340,-0.026618100,-0.039394788
1720720290613067213,-9.550860,-0.478500,0.660330,-0.037265340,-0.027682824,-0.040459512
1720720290623064833,-9.574785,-0.502425,0.655545,-0.037265340,-0.026618100,-0.039394788
1720720290633062253,-9.550860,-0.492855,0.669900,-0.037265340,-0.026618100,-0.040459512
1720720290643059883,-9.565215,-0.497640,0.684255,-0.037265340,-0.025553376,-0.040459512
1720720290653057643,-9.546075,-0.511995,0.684255,-0.037265340,-0.026618100,-0.041524236
1720720290663055223,-9.550860,-0.478500,0.645975,-0.037265340,-0.025553376,-0.041524236
1720720290673052833,-9.536505,-0.502425,0.669900,-0.038330064,-0.026618100,-0.040459512
1720720290683050173,-9.560430,-0.502425,0.660330,-0.037265340,-0.026618100,-0.040459512
1720720290693047473,-9.541290,-0.473715,0.650760,-0.037265340,-0.026618100,-0.040459512
1720720290703044783,-9.526935,-0.502425,0.665115,-0.037265340,-0.027682824,-0.040459512
1720720290713042183,-9.550860,-0.507210,0.684255,-0.037265340,-0.026618100,-0.040459512
1720720290723039553,-9.541290,-0.511995,0.703395,-0.037265340,-0.026618100,-0.040459512
1720720290733037213,-9.565215,-0.511995,0.679470,-0.037265340,-0.026618100,-0.040459512
1720720290743034853,-9.546075,-0.478500,0.674685,-0.038330064,-0.024488652,-0.041524236
1720720290753032503,-9.570000,-0.492855,0.684255,-0.037265340,-0.025553376,-0.040459512
1720720290763029823,-9.565215,-0.492855,0.660330,-0.037265340,-0.026618100,-0.040459512
1720720290773026683,-9.570000,-0.492855,0.655545,-0.037265340,-0.026618100,-0.040459512
