Timestamp (ns),Acc_x,Acc_y,Acc_z,Anglvel_x,Anglvel_y,Anglvel_z
1720715706828152228,-9.579570,0.177045,-0.224895,-0.020229756,-0.017035584,0.004258896
1720715706838151418,-9.627420,0.133980,-0.205755,-0.021294480,-0.017035584,0.005323620
1720715706848150578,-9.574785,0.157905,-0.200970,-0.021294480,-0.015970860,0.004258896
1720715706858149758,-9.593925,0.138765,-0.177045,-0.021294480,-0.017035584,0.004258896
1720715706868149778,-9.570000,0.153120,-0.210540,-0.022359204,-0.015970860,0.005323620
1720715706878149038,-9.603495,0.138765,-0.253605,-0.021294480,-0.017035584,0.004258896
1720715706888148368,-9.574785,0.157905,-0.229680,-0.020229756,-0.018100308,0.004258896
1720715706898147918,-9.617850,0.153120,-0.215325,-0.021294480,-0.018100308,0.004258896
1720715706908147178,-9.574785,0.129195,-0.210540,-0.021294480,-0.015970860,0.005323620
1720715706918146378,-9.598710,0.133980,-0.172260,-0.021294480,-0.015970860,0.005323620
1720715706928145798,-9.589140,0.157905,-0.210540,-0.020229756,-0.017035584,0.004258896
1720715706938145158,-9.574785,0.177045,-0.229680,-0.021294480,-0.015970860,0.005323620
1720715706948144508,-9.584355,0.143550,-0.220110,-0.021294480,-0.017035584,0.005323620
1720715706958143698,-9.589140,0.162690,-0.205755,-0.021294480,-0.015970860,0.005323620
1720715706968142948,-9.627420,0.114840,-0.253605,-0.022359204,-0.015970860,0.005323620
1720715706978141688,-9.574785,0.153120,-0.172260,-0.021294480,-0.015970860,0.004258896
1720715706988140998,-9.636990,0.129195,-0.234465,-0.020229756,-0.015970860,0.005323620
1720715706998140128,-9.589140,0.153120,-0.229680,-0.020229756,-0.017035584,0.004258896
1720715707008138998,-9.613065,0.124410,-0.253605,-0.021294480,-0.017035584,0.004258896
1720715707018137298,-9.574785,0.153120,-0.244035,-0.020229756,-0.015970860,0.005323620
1720715707028136098,-9.613065,0.157905,-0.253605,-0.021294480,-0.017035584,0.004258896
1720715707038135558,-9.579570,0.143550,-0.215325,-0.021294480,-0.015970860,0.004258896
1720715707048134148,-9.617850,0.153120,-0.215325,-0.021294480,-0.017035584,0.004258896
1720715707058132498,-9.603495,0.143550,-0.272745,-0.021294480,-0.018100308,0.004258896
1720715707068131138,-9.598710,0.133980,-0.239250,-0.020229756,-0.015970860,0.005323620
1720715707078130158,-9.579570,0.162690,-0.244035,-0.022359204,-0.015970860,0.005323620
1720715707088129248,-9.603495,0.133980,-0.181830,-0.021294480,-0.018100308,0.004258896
1720715707098128438,-9.603495,0.119625,-0.244035,-0.022359204,-0.017035584,0.004258896
1720715707108127498,-9.584355,0.114840,-0.234465,-0.021294480,-0.017035584,0.005323620
1720715707118126288,-9.622635,0.119625,-0.244035,-0.020229756,-0.018100308,0.005323620
1720715707128125178,-9.574785,0.153120,-0.220110,-0.021294480,-0.017035584,0.005323620
1720715707138124988,-9.622635,0.138765,-0.234465,-0.021294480,-0.018100308,0.005323620
1720715707148123768,-9.565215,0.143550,-0.229680,-0.021294480,-0.015970860,0.005323620
1720715707158122448,-9.617850,0.148335,-0.205755,-0.021294480,-0.015970860,0.005323620
1720715707168121418,-9.598710,0.133980,-0.196185,-0.020229756,-0.018100308,0.004258896
1720715707178120228,-9.608280,0.138765,-0.224895,-0.021294480,-0.017035584,0.004258896
1720715707188118188,-9.570000,0.157905,-0.239250,-0.021294480,-0.015970860,0.005323620
1720715707198116958,-9.617850,0.143550,-0.200970,-0.020229756,-0.017035584,0.005323620
1720715707208115828,-9.608280,0.138765,-0.210540,-0.021294480,-0.017035584,0.004258896
1720715707218114428,-9.617850,0.133980,-0.215325,-0.021294480,-0.017035584,0.004258896
1720715707228113278,-9.579570,0.153120,-0.253605,-0.021294480,-0.018100308,0.004258896
1720715707238112148,-9.598710,0.162690,-0.229680,-0.022359204,-0.015970860,0.004258896
1720715707248111778,-9.593925,0.153120,-0.272745,-0.022359204,-0.015970860,0.005323620
1720715707258110438,-9.579570,0.133980,-0.248820,-0.021294480,-0.014906136,0.005323620
1720715707268109058,-9.574785,0.148335,-0.263175,-0.022359204,-0.015970860,0.005323620
1720715707278107908,-9.598710,0.148335,-0.248820,-0.021294480,-0.015970860,0.005323620
1720715707288106468,-9.598710,0.133980,-0.210540,-0.021294480,-0.017035584,0.005323620
